,Mean,Std,Max,Min,"Range (i.e., max-min)",Percentage above mean,Sum of net loads during business hours,Sum of net loads during non-business hours,Skewness,Kurtosis,Mode of 5-bin histogram,Longest period above mean,Longest period of successive increase,Peak_all: number,Peak_all: time,Peak_all: shortest interval between two peaks,Peak_all: duration,Peak_longest: occurrence time,Peak_longest: duration,Peak_longest: upward slope,Peak_longest: downward slope,Season,Intra-week Group,Installed PV Capacity (kW)
0,23.588750000000005,8.597628755427037,37.595749999999995,10.304499999999999,27.291249999999998,0.5625,424.19200000000006,708.068,-0.09080369284924814,-1.0567807076022875,23.950124999999996,9.5,3.5,1,[20.],,[4.5],20.0,4.5,1.0,-1.0,2,1,0.0
1,28.48036458333334,8.567186634363493,41.80750000000001,15.362000000000002,26.44550000000001,0.5,504.15200000000004,862.9055000000002,-0.1063603466974182,-1.124618601871317,28.584750000000007,8.0,4.0,1,[19.5],,[4.5],19.5,4.5,1.0,-1.0,2,1,0.0
2,28.749682291666662,9.161148925475368,44.22550000000002,14.86175,29.363750000000017,0.5,513.676,866.3087500000001,-0.03958271976573212,-1.101914444663063,17.798125000000002,7.0,3.5,1,[20.],,[4.5],20.0,4.5,1.0,-1.0,2,1,0.0
3,23.36308854166667,8.01586884659787,37.39525000000001,11.60625,25.789000000000012,0.4166666666666667,397.82425,723.604,0.14419703723159968,-0.9857840092869128,24.500750000000007,8.0,3.0,1,[20.],,[5.5],20.0,5.5,1.0,-2.0,2,1,0.0
4,24.442010416666662,8.251733982699978,39.33899999999999,11.838250000000002,27.50074999999999,0.5,422.62675,750.58975,0.1110425839653743,-0.9161339200035625,25.588624999999997,7.5,4.0,1,[19.5],,[4.5],19.5,4.5,1.0,-1.0,2,1,0.0
5,27.431911458333335,8.77128124704804,42.83,14.243749999999999,28.58625,0.5,478.1605,838.57125,0.04046335045913185,-0.9709589309324445,28.536875,8.0,3.5,1,[19.75],,[4.],19.75,4.0,1.0,-1.0,2,1,0.0
6,23.82691145833334,7.779860476082885,37.672,11.494750000000002,26.177249999999994,0.6041666666666666,426.717,716.97475,-0.08624029309851908,-1.0078836134866562,24.583374999999997,8.0,4.0,1,[20.25],,[5.],20.25,5.0,1.0,-1.0,2,1,0.0
7,24.53439583333333,7.691700342812925,37.21199999999999,12.660249999999998,24.55174999999999,0.5,422.3075,755.3435000000001,-0.019938799559673225,-1.0878855172002408,24.936124999999993,7.5,3.0,1,[20.25],,[5.],20.25,5.0,1.0,-1.0,2,1,0.0
8,20.975239583333334,7.572913808050528,35.452999999999996,10.665,24.787999999999997,0.4166666666666667,341.3255,665.486,0.38928314435503186,-0.8403013143387335,18.101399999999998,6.5,4.0,1,[20.],,[4.5],20.0,4.5,2.0,-1.0,3,1,0.0
9,26.086052083333332,8.526117947829958,42.01,14.012500000000001,27.997499999999995,0.4375,434.925,817.2055000000001,0.33637387033076466,-0.7870799347108037,22.41175,7.5,3.5,1,[20.],,[4.5],20.0,4.5,1.0,-1.0,3,1,0.0
10,22.916916666666665,7.114412932073561,35.37875,12.262750000000002,23.115999999999993,0.5208333333333334,397.32174999999995,702.69025,0.03362564911262541,-0.9268689638822831,23.820749999999997,7.5,4.0,2,[19.5 22. ],1.25,[3.5 0.5],19.5,3.5,1.0,-1.0,3,1,0.0
11,26.795526041666676,7.64860708796318,40.26650000000001,14.7375,25.529000000000007,0.5,461.26075000000003,824.9245000000002,0.06086792855712453,-0.9161685839083793,27.502000000000002,7.0,5.0,1,[20.5],,[4.5],20.5,4.5,1.0,-1.0,3,1,0.0
12,23.68683333333333,6.494345266535512,34.01875,12.68675,21.331999999999997,0.6458333333333334,451.16225,685.8057500000001,-0.3861787832672988,-1.0616704405819142,27.619149999999998,15.5,5.5,1,[20.5],,[2.5],20.5,2.5,1.0,-1.0,3,1,0.0
13,20.05622395833333,6.337728031367569,32.9515,10.437999999999999,22.513500000000004,0.5416666666666666,356.49125000000004,606.2075,0.20933643961881832,-0.6647290934834569,21.69475,8.0,4.0,1,[20.],,[3.5],20.0,3.5,1.0,-1.0,3,1,0.0
14,17.336651041666666,5.678198146368792,29.131249999999998,8.857000000000001,20.274249999999995,0.5625,304.8085,527.3507500000001,0.12389051362261068,-0.6009265782263435,18.994124999999997,8.0,3.5,1,[20.25],,[3.],20.25,3.0,1.0,-1.0,3,1,0.0
15,16.436895833333335,5.247603798856608,26.839750000000002,7.901250000000001,18.9385,0.5416666666666666,285.67799999999994,503.29299999999995,0.046446829517412865,-0.6418815180130792,17.3705,7.5,4.0,1,[20.5],,[3.5],20.5,3.5,1.0,-1.0,3,1,0.0
16,16.153458333333333,5.143349083538749,26.834000000000003,8.585249999999998,18.248750000000005,0.4375,267.00300000000004,508.3629999999999,0.36170486667412177,-0.568259876930032,14.059875,6.5,3.5,2,[17.5 20.5],1.5,[0.5 3.5],20.5,3.5,1.0,-2.0,3,1,0.0
17,15.866593750000002,5.118872911788714,25.764750000000006,8.589249999999998,17.175500000000007,0.4583333333333333,276.61625000000004,484.98025000000007,0.27806302895881124,-0.7432098365010309,17.177,7.5,3.0,1,[20.25],,[4.],20.25,4.0,1.0,-2.0,3,1,0.0
